,settlement_period,price,charge_MW,discharge_MW,soe_MWh,revenue,cycle,mwh_capacity
210,19,71.68583647143747,0.0,0.0,0.0,0.0,1,8.0
211,20,68.63930573330768,0.0,0.0,0.0,0.0,1,8.0
212,21,64.54324293862092,0.0,0.0,0.0,0.0,1,8.0
213,22,62.18628356843754,0.0,0.0,0.0,0.0,1,8.0
214,23,58.97797628320774,1.0,0.0,0.5,-29.48898814160387,1,8.0
215,24,57.54340176532567,1.0,0.0,1.0,-28.771700882662834,1,8.0
216,25,56.300885068408704,1.0,0.0,1.5,-28.150442534204352,1,8.0
217,26,56.30310233968827,1.0,0.0,2.0,-28.151551169844137,1,8.0
218,27,54.8174640642377,1.0,0.0,2.5,-27.40873203211885,1,8.0
219,28,55.591291740807776,1.0,0.0,3.0,-27.795645870403888,1,8.0
220,29,55.41507854040647,1.0,0.0,3.5,-27.707539270203235,1,8.0
221,30,58.213274895224366,1.0,0.0,4.0,-29.106637447612183,1,8.0
222,31,58.43239007761407,1.0,0.0,4.5,-29.216195038807037,1,8.0
223,32,63.203957871249656,0.0,1.0,4.0,31.601978935624828,1,8.0
224,33,65.23627546703472,0.0,1.0,3.5,32.61813773351736,1,8.0
225,34,70.22291857478864,0.0,1.0,3.0,35.11145928739432,1,8.0
226,35,70.84041310525005,0.0,1.0,2.5,35.420206552625025,1,8.0
227,36,73.98893832224007,0.0,1.0,2.0,36.99446916112004,1,8.0
228,37,73.15129536097268,0.0,1.0,1.5,36.57564768048634,1,8.0
229,38,72.17791326924126,0.0,1.0,1.0,36.08895663462063,1,8.0
230,39,68.93066183125707,0.0,1.0,0.5,34.465330915628535,1,8.0
231,40,66.11694457748219,0.0,1.0,0.0,33.05847228874109,1,8.0
232,41,60.748418619976576,0.0,0.0,0.0,0.0,1,8.0
233,42,57.03670649797567,0.0,0.0,0.0,0.0,1,8.0
234,43,52.45951135652108,0.0,0.0,0.0,0.0,1,8.0
235,44,47.896367063165115,0.0,0.0,0.0,0.0,1,8.0
236,45,42.84136548186204,0.0,0.0,0.0,0.0,1,8.0
